Name;Role;Tier;Score;Trend;Win %;Pick %;Ban %;KDA
Yasuo;ADC;D;33.33;-1.69;50.86%;1.56%;18.61%;2.03
Yone;MID;God;70.13;-0.45;50.49%;9.04%;12.99%;1.93
Yone;TOP;A;56.04;2.89;49.57%;5.78%;12.99%;1.63
Yorick;TOP;A;47.6;0.77;51.21%;2.60%;2.98%;1.63
Yuumi;SUPPORT;God;93.44;2.13;47.67%;10.92%;37.43%;4.11
Zac;JUNGLE;S;57.85;0.21;52.16%;4.31%;3.24%;3.62
Zed;MID;God;84.84;-0.37;51.04%;8.72%;36.80%;2.34
Zed;JUNGLE;B;44.15;-0.84;48.95%;2.31%;36.80%;2.66
Zeri;ADC;D;17.71;1.37;44.78%;1.10%;0.43%;2.13
Ziggs;MID;B;44.61;-2.95;50.41%;1.61%;0.33%;2.46
Ziggs;ADC;D;35.73;-4.26;51.59%;0.87%;0.33%;2.53
Zilean;SUPPORT;B;46.26;-4.06;49.79%;2.75%;1.68%;3.05
Zilean;MID;B;44.62;-5.37;49.73%;0.51%;1.68%;3.37
Zoe;MID;A;49.0;0.36;49.78%;3.12%;1.63%;2.58
Zyra;SUPPORT;A;48.49;0.22;51.33%;3.72%;2.74%;2.13
Aatrox;TOP;God;89.19;-1.82;49.85%;10.23%;24.26%;1.87
Ahri;MID;A;54.88;-7.09;50.61%;5.15%;2.63%;2.41
Akali;MID;S;65.31;-9.59;48.29%;9.71%;16.95%;2.31
Akali;TOP;B;42.97;-0.66;46.26%;2.93%;16.95%;1.99
Akshan;MID;A;50.02;2.72;52.57%;2.11%;3.95%;2.2
Akshan;TOP;B;42.28;1.17;51.82%;0.62%;3.95%;1.96
Akshan;ADC;D;23.7;0.0;48.20%;0.33%;3.83%;2.08
Alistar;SUPPORT;B;42.5;1.56;48.00%;2.77%;0.73%;2.32
Amumu;SUPPORT;A;49.97;0.1;51.50%;3.26%;4.04%;2.06
Amumu;JUNGLE;C;37.29;-12.53;47.12%;2.35%;4.04%;2.58
Anivia;MID;A;50.58;-0.79;51.66%;2.04%;1.95%;2.71
Anivia;SUPPORT;D;34.96;7.37;48.23%;0.39%;1.95%;2.27
Annie;MID;B;42.94;2.43;49.42%;1.30%;0.54%;2.25
Annie;SUPPORT;D;27.58;9.07;45.27%;0.24%;0.59%;1.96
Aphelios;ADC;D;33.14;0.94;46.84%;5.10%;0.92%;1.89
Ashe;ADC;A;55.92;4.18;50.95%;8.48%;2.95%;2.32
Ashe;SUPPORT;A;49.08;2.11;48.90%;4.23%;2.95%;2.27
Aurelion Sol;MID;B;46.66;7.07;51.72%;0.80%;0.35%;2.47
Azir;MID;C;40.39;0.14;46.08%;3.10%;0.93%;2.0
Bard;SUPPORT;B;47.9;2.81;48.63%;3.43%;0.60%;2.82
Bel'Veth;JUNGLE;S;57.67;-12.44;51.52%;4.57%;21.01%;2.45
Blitzcrank;SUPPORT;S;68.46;-1.06;50.24%;7.27%;22.48%;2.37
Brand;SUPPORT;A;52.53;5.98;51.38%;4.23%;5.30%;1.87
Brand;MID;B;45.4;5.65;52.14%;0.82%;5.74%;2.01
Braum;SUPPORT;B;41.13;2.12;48.39%;1.92%;0.32%;2.48
Caitlyn;ADC;God;92.44;3.83;50.84%;18.03%;17.22%;2.2
Camille;TOP;S;62.46;1.07;51.63%;5.58%;2.88%;2.0
Camille;JUNGLE;D;31.56;0.0;47.66%;0.79%;2.88%;2.49
Cassiopeia;MID;B;43.85;0.22;49.78%;1.78%;1.65%;2.07
Cassiopeia;TOP;C;36.28;-4.65;50.06%;0.23%;1.68%;1.81
Cassiopeia;ADC;D;34.77;0.0;52.70%;0.25%;1.68%;2.24
Cho'Gath;TOP;A;49.42;3.46;48.82%;3.84%;2.21%;1.96
Cho'Gath;MID;B;41.22;1.45;49.26%;0.73%;2.21%;2.22
Cho'Gath;JUNGLE;D;29.03;0.0;46.46%;0.60%;2.31%;2.59
Corki;MID;B;41.4;5.16;48.80%;1.30%;0.30%;2.14
Darius;TOP;God;79.09;2.37;50.31%;7.98%;26.26%;1.85
Diana;JUNGLE;A;55.79;-0.88;51.26%;5.12%;4.06%;2.52
Diana;MID;B;44.06;-1.21;49.97%;1.74%;4.06%;2.04
Dr. Mundo;TOP;A;55.52;5.99;50.53%;4.35%;3.47%;2.03
Dr. Mundo;JUNGLE;A;48.88;0.0;53.45%;1.66%;3.47%;3.06
Draven;ADC;A;48.22;-4.89;50.01%;5.88%;20.58%;2.03
Ekko;JUNGLE;S;65.09;4.2;52.45%;6.26%;5.75%;2.91
Ekko;MID;B;47.05;-3.21;49.75%;2.64%;5.75%;2.27
Elise;JUNGLE;A;51.17;2.94;53.08%;2.56%;2.24%;2.97
Evelynn;JUNGLE;S;61.05;8.59;52.34%;5.00%;7.23%;3.1
Ezreal;ADC;God;83.16;15.02;49.37%;18.57%;3.57%;2.38
Fiddlesticks;JUNGLE;B;47.42;-5.18;51.59%;2.50%;2.63%;2.83
Fiddlesticks;SUPPORT;C;35.87;0.0;49.12%;0.42%;2.61%;2.07
Fiora;TOP;God;92.87;24.01;53.35%;9.21%;25.85%;1.79
Fizz;MID;B;47.84;-4.75;49.54%;2.97%;4.52%;2.36
Galio;MID;B;47.11;-5.55;49.87%;2.17%;0.47%;2.56
Galio;SUPPORT;D;33.68;-2.1;47.53%;0.54%;0.47%;2.17
Gangplank;TOP;S;60.0;7.35;49.88%;5.79%;3.98%;1.98
Gangplank;MID;B;46.44;3.66;51.33%;1.39%;3.98%;2.25
Garen;TOP;A;54.29;-2.94;49.53%;4.66%;2.32%;1.98
Gnar;TOP;B;43.45;-1.09;49.53%;2.17%;0.52%;1.89
Gragas;MID;C;40.73;1.92;48.51%;0.73%;0.41%;2.39
Gragas;TOP;C;40.49;0.82;48.14%;1.81%;0.41%;2.08
Gragas;JUNGLE;C;35.5;0.21;48.22%;0.96%;0.41%;2.94
Gragas;SUPPORT;D;26.96;-1.69;44.08%;0.48%;0.41%;2.16
Graves;JUNGLE;God;68.56;-20.89;50.04%;7.94%;10.25%;2.72
Gwen;TOP;A;48.08;0.08;51.30%;2.62%;0.90%;1.78
Gwen;JUNGLE;C;37.11;0.0;50.86%;0.60%;0.90%;2.55
Hecarim;JUNGLE;God;90.97;16.01;51.13%;9.98%;26.57%;2.78
Heimerdinger;SUPPORT;A;52.43;1.26;52.02%;3.60%;6.14%;2.06
Heimerdinger;MID;A;49.19;1.9;54.23%;1.10%;5.69%;1.93
Heimerdinger;TOP;C;39.8;-3.14;51.45%;0.65%;5.69%;1.65
Illaoi;TOP;A;52.86;1.73;51.24%;3.93%;6.96%;1.52
Irelia;MID;A;54.33;4.28;51.61%;4.82%;12.05%;1.84
Irelia;TOP;A;53.28;1.14;49.38%;4.50%;12.05%;1.65
Ivern;JUNGLE;D;34.45;-2.29;47.19%;0.92%;0.37%;3.14
Ivern;SUPPORT;D;32.04;10.57;46.62%;0.22%;0.38%;2.44
Janna;SUPPORT;S;64.32;2.4;53.68%;4.96%;1.87%;3.21
Jarvan IV;JUNGLE;A;48.37;-0.46;52.09%;1.82%;0.25%;3.39
Jax;TOP;God;68.79;8.39;51.59%;7.13%;8.74%;1.71
Jax;JUNGLE;C;40.42;6.82;50.74%;1.60%;8.74%;2.39
Jayce;MID;B;44.27;-4.23;51.61%;0.46%;0.33%;2.17
Jayce;TOP;C;40.51;-3.14;49.15%;1.72%;0.33%;1.83
Jhin;ADC;God;78.44;3.43;51.58%;14.15%;3.94%;2.83
Jinx;ADC;A;52.22;0.35;50.65%;7.92%;0.91%;2.19
K'Sante;TOP;God;75.69;-4.57;46.52%;9.89%;14.89%;1.91
Kai'Sa;ADC;God;90.99;-2.55;51.37%;19.19%;5.62%;2.41
Kalista;ADC;D;32.98;0.08;48.48%;3.12%;1.24%;2.15
Karma;SUPPORT;S;62.68;4.43;50.21%;7.13%;1.77%;2.68
Karthus;MID;B;42.92;2.27;50.73%;0.37%;1.67%;2.24
Karthus;ADC;C;39.69;2.72;54.43%;0.59%;1.67%;2.23
Karthus;JUNGLE;C;39.56;-0.1;49.94%;1.59%;1.67%;2.6
Kassadin;MID;A;54.3;1.76;49.70%;5.08%;7.87%;2.47
Katarina;MID;S;60.16;-3.76;49.02%;8.24%;9.93%;2.21
Kayle;TOP;B;46.18;2.91;50.95%;2.33%;0.69%;1.77
Kayle;MID;B;44.77;12.13;52.07%;0.44%;0.69%;2.12
Kayn;JUNGLE;God;76.51;5.81;49.89%;10.19%;10.95%;2.51
Kennen;MID;B;43.79;2.89;51.24%;0.26%;0.38%;2.3
Kennen;TOP;C;37.28;-3.75;48.65%;1.00%;0.47%;1.93
Kha'Zix;JUNGLE;S;58.79;6.3;51.60%;5.49%;3.00%;2.73
Kindred;JUNGLE;A;51.96;-4.48;49.60%;5.26%;4.63%;2.23
Kled;MID;A;52.45;0.0;55.71%;0.21%;0.83%;2.58
Kled;TOP;A;49.58;0.79;52.15%;1.70%;0.79%;2.35
Kog'Maw;ADC;C;38.47;3.44;51.58%;2.54%;0.61%;2.18
LeBlanc;MID;B;46.66;-2.19;47.80%;3.07%;4.88%;2.68
Lee Sin;JUNGLE;S;65.86;2.49;47.42%;9.06%;5.20%;2.75
Leona;SUPPORT;A;54.4;0.61;49.55%;5.26%;5.77%;2.3
Lillia;JUNGLE;S;64.4;15.88;54.06%;5.32%;3.89%;3.02
Lillia;TOP;A;49.82;5.92;54.09%;1.23%;3.89%;2.05
Lissandra;MID;B;43.28;-0.25;48.56%;1.96%;0.75%;2.3
